name,recclass,mass (g),fall,year,reclat,reclong
Thiel Mountains 99014,L5,371.3,Found,2000,-85.16782,-94.72788
Thiel Mountains 99010,H5,116.8,Found,2000,-85.1654,-94.79735
Thiel Mountains 99013,L4,248.5,Found,2000,-85.16535,-94.72453
Thiel Mountains 99015,H5,78.6,Found,2000,-85.16523,-94.73375
Thiel Mountains 99001,L4,288,Found,2000,-85.16517,-94.57335
Thiel Mountains 99018,H4,436.9,Found,2000,-85.16513,-94.84618
Thiel Mountains 99016,EL6,43,Found,2000,-85.1651,-94.77712
Thiel Mountains 99003,H5,113.8,Found,2000,-85.16373,-94.59473
Thiel Mountains 99004,L4,313.4,Found,2000,-85.16345,-94.59088
Thiel Mountains 99017,L4,1527.6,Found,2000,-85.16345,-94.85695
Thiel Mountains 99006,H6,31,Found,2000,-85.16323,-94.57987
Thiel Mountains 99005,LL5,47.7,Found,2000,-85.16292,-94.59247
Thiel Mountains 99008,H6,147.5,Found,2000,-85.16103,-94.59745
Thiel Mountains 99007,L4,51.9,Found,2000,-85.16082,-94.6157
Thiel Mountains 99002,Acapulcoite,44.3,Found,2000,-85.1605,-94.57012
Thiel Mountains 99019,L5,136,Found,2000,-85.16048,-94.79135
Thiel Mountains 99011,L5,473,Found,2000,-85.15852,-94.62125
Thiel Mountains 99009,L5,302.9,Found,2000,-85.15548,-94.54687
Thiel Mountains 99012,L4,159,Found,2000,-85.15468,-94.58963
Patriot Hills 99001,L5,1.73,Found,2000,-80.28555,-81.81348
Bates Nunataks 00300,Eucrite-unbr,124.6,Found,2000,-80.25,153.5
Bates Nunataks 00301,H3.3,33.8,Found,2000,-80.25,153.5
Bates Nunataks 00302,H3.3,37.1,Found,2000,-80.25,153.5
Bates Nunataks 00303,H3.3,15.8,Found,2000,-80.25,153.5
Bates Nunataks 00304,L6,709,Found,2000,-80.25,153.5
Bates Nunataks 00305,H5,316.4,Found,2000,-80.25,153.5
Bates Nunataks 00306,L5,66.95,Found,2000,-80.25,153.5
Bates Nunataks 00307,H6,130.05,Found,2000,-80.25,153.5
Bates Nunataks 00308,L5,10.7,Found,2000,-80.25,153.5
Bates Nunataks 00309,L5,24.1,Found,2000,-80.25,153.5
Bates Nunataks 00310,LL6,20.61,Found,2000,-80.25,153.5
